ShipmentNo	VehicleNo	CreatedOn
EB2D96A8-1710-4382-B18F-46767A66669E	BDE-0087	2022-10-27 09:56:15.9633333
0DFFF761-DDBF-4432-A051-4886C4A6F882	BAC-0097	2022-10-27 09:39:15.9700000
EFE0F698-62AA-4D4A-BCA4-7F614EB020F0	BAE-0059	2022-10-27 08:51:15.9766667
85A11A92-A2D2-4D7A-9CCB-A93DC06C8C5D	CDA-0030	2022-10-27 13:18:15.9866667
2220E5C6-616D-4152-9DF0-D39A236DE2F3	CBA-0052	2022-10-27 14:59:15.9933333
AF5FBDD4-DB7B-44C2-B5A0-1DD4A767A150	DEB-0080	2022-10-29 18:31:15.6833333
982EE649-78FC-4EFD-BC06-2BF172EF874F	DCC-0038	2022-10-29 13:45:15.6900000
C6255AFE-4A8D-4D72-8134-339DEF4B6F8D	BDD-0055	2022-10-29 11:24:15.6933333
E3BA371F-1682-4E34-AAF5-5F2BBEAF07BE	CBB-0075	2022-10-29 11:49:15.7033333
88EBAC89-3DCF-4641-A771-63EC52DCCC0D	ECB-0005	2022-10-29 12:57:15.7100000
BD8A2D3E-236D-474E-B5F8-64ACEE8FF3E8	ABA-0010	2022-10-29 10:22:15.7133333
AA9996A2-EEEA-47C1-A0B1-80FA51AC4C08	DCE-0022	2022-10-29 09:40:15.7200000
D7B1BC47-8104-414B-B997-CEA173A773ED	DAC-0080	2022-10-29 18:31:15.7266667
B1C7664F-CD27-4BDF-8F99-F05E750328E4	EEA-0077	2022-10-29 17:04:15.7400000
0BB7F7ED-801B-4E00-BE30-16F9F3916E22	BDD-0010	2022-10-30 13:30:14.3000000
341BA530-1AC7-4B89-BD25-1D7E51EDC7E0	ACD-0089	2022-10-30 16:10:14.3033333
6576FE7E-95B2-429D-8A9C-1E8A8E8179C2	CDD-0010	2022-10-30 17:35:14.3100000
C8943562-10BD-4CA2-B1C3-297087A47E39	EAD-0021	2022-10-30 11:50:14.3166667
818A6FC2-F52E-41A9-AA61-33E07C553D6D	DCD-0089	2022-10-30 13:34:14.3233333
AB666E04-B2E9-4F4C-9191-4495598621D7	CEA-0083	2022-10-30 09:31:14.3266667
F66BE5BE-EC7C-4BE2-8A4A-4EAEAA68466E	BCC-0069	2022-10-30 14:33:14.3333333
B3BED658-9F53-4BE2-8925-5C8287F39D53	CCD-0054	2022-10-30 17:49:14.3400000
C2C735AC-8FC4-423D-A738-66233C0663C4	BBA-0083	2022-10-30 11:04:14.3633333
4A23AE5D-EF6C-429A-AF6B-6A5C900B48F2	EED-0038	2022-10-30 11:05:14.3700000
018A84B3-1F4B-4096-9924-8A22AD740EDA	BAB-0060	2022-10-30 10:19:14.3766667
7357820E-6788-435E-A3F3-8CEB63507137	CEE-0070	2022-10-30 09:13:14.3866667
F758F3E5-60AD-4811-AC27-8DEF692CFC9E	EAC-0062	2022-10-30 10:48:14.3900000
140C2060-1FF7-4EC8-AE00-8F279F495747	CDA-0090	2022-10-30 09:08:14.4100000
43B2FCB3-27A7-4D1D-B307-9BDF430C5A68	EBD-0090	2022-10-30 17:28:14.4166667
1150043F-E6D0-40BD-8FC8-B141DBA30480	BDD-0042	2022-10-30 17:36:14.4200000
6F6424D1-0D41-405E-A55D-C654E3396066	ABE-0083	2022-10-30 13:42:14.4300000
597665CA-BE95-4BBA-8672-CDFC09F8CF80	ACC-0027	2022-10-30 16:04:14.4466667
A4D5ABC1-B5D0-41EB-BD82-CE53DDE9ACAA	BAE-0027	2022-10-30 09:57:14.4566667
A01E686E-C9F5-4BC7-A756-DE4F8F458A06	ADC-0040	2022-10-30 18:00:14.4600000
08BFA469-D6E7-4F43-BBB1-FB23A861F488	ECB-0075	2022-10-30 18:29:14.4666667
72A68576-9A87-4B0D-956D-FD500564BE8A	CEA-0062	2022-10-30 17:38:14.4733333
79DBA5BB-CB9D-4031-BB41-3FC191F7FA31	BBB-0088	2022-10-31 17:56:14.3533333
A0D24C67-FECA-4E8F-A9AB-6FC7E0FF737C	BCB-0086	2022-10-31 13:20:14.3633333
5CCA69C4-A11E-480E-A495-7A334DBBDB1A	ACE-0098	2022-10-31 10:48:14.3700000
4226E7D9-7831-416B-8ED9-7DC78D3EB69D	AED-0092	2022-10-31 08:47:14.3766667
3B090E80-B765-409F-A8A8-95B5DC95578D	DDB-0079	2022-10-31 13:48:14.3800000
8DEF747C-DBA5-45C9-954A-9FCFA52FC4E4	DEE-0057	2022-10-31 11:53:14.3900000
2EDB6489-B067-469B-9438-A939437691C5	EBC-0049	2022-10-31 17:18:14.4000000
64CADC51-A2B8-43B0-93EF-DAA05CD93CAF	CDE-0076	2022-10-31 18:29:14.4066667
3CDD5CF4-7E38-416F-AB87-E414FDFA0EA3	CCA-0048	2022-10-31 13:39:14.4100000
DF3ACE4D-11C4-4965-B760-ED80627419E6	BBB-0043	2022-10-31 09:12:14.4200000
704B8CB4-6684-4287-A176-199163BC72AC	AAE-0067	2022-11-05 16:40:14.9300000
EFEE5EE1-6B1A-4B78-A37B-5A84A09232E5	BBD-0051	2022-11-05 15:34:14.9366667
819B782E-8896-447D-A867-640BDC6AF6D0	BCA-0087	2022-11-05 18:22:14.9433333
4721ED5C-54E3-4CAB-A607-ED14FF092A3F	ECD-0091	2022-11-05 09:34:14.9500000
E0542B86-5175-46D4-8364-EEA6A0B88038	DBB-0040	2022-11-05 16:53:14.9566667
ED997CA7-F41F-4C5C-BAC7-FDA9675F4488	CEC-0082	2022-11-05 14:52:14.9600000
6FE039A4-3F73-4F02-946E-147C4D6C7583	DAA-0018	2022-11-06 12:31:14.8766667
D990F4FF-97D2-4AC9-A845-7437ED760AF1	BEB-0097	2022-11-06 15:00:14.8866667
877845F6-3B39-4CE4-95A6-7FFAB5ECA90D	DDC-0098	2022-11-06 11:11:14.8933333
58ECF575-A513-4FB9-AA52-A25F832C41EF	CEC-0008	2022-11-06 17:53:14.9000000
6178F72D-3A40-4200-818F-AFFC7733DBEB	CBE-0044	2022-11-06 13:57:14.9066667
4EF95AA6-6C13-4EA6-9E57-B0B63C605A9D	ECD-0001	2022-11-06 15:43:14.9133333
4EAD331A-F08C-44C0-B963-0F8D0012BA61	EBD-0083	2022-11-09 18:22:15.1233333
E2C42256-979F-41CA-8628-116E14D5BAD0	DCC-0086	2022-11-09 09:05:15.1266667
A6A3C20C-06CA-424C-89C8-2A3FD02A6819	BBD-0071	2022-11-09 09:19:15.1366667
53B4AE66-22D9-44B8-B32C-2BB27DBBF4AA	CCE-0058	2022-11-09 13:19:15.1466667
A2263B9B-BC3D-48B7-B56A-339C988D9954	CAE-0078	2022-11-09 18:10:15.1533333
8A23C33C-CB8F-4190-A42F-52D632624422	DDC-0051	2022-11-09 15:22:15.1600000
1CC6E145-D247-4B4A-AB40-5683CDD590D4	EAB-0079	2022-11-09 13:32:15.1700000
1600EDDC-90D2-48BB-8370-57A68695BD1D	EAB-0068	2022-11-09 16:18:15.1800000
1BDE4B8D-B7A8-45F0-A236-73D881ABB478	BED-0041	2022-11-09 14:33:15.2000000
761CD772-56A4-4FEF-9F77-7A19AE58F1A0	CCC-0011	2022-11-09 18:29:15.2100000
7EA75333-FF7F-4B5D-9BC6-8B9187C171FB	AEE-0008	2022-11-09 12:59:15.5200000
26FEB02D-E9BE-45E2-9198-941729A74D6E	ADA-0053	2022-11-09 15:21:15.5233333
1D5FBBB8-4F15-4B0D-8CFD-945782FECC84	AAA-0046	2022-11-09 15:37:15.5300000
61E0F3C6-8B9F-43F8-9D97-9EB8B1B39727	BDD-0090	2022-11-09 11:01:15.5366667
50D052A0-3AE9-4EAC-98C7-9F5597192293	AAB-0034	2022-11-09 12:53:15.5433333
2DAF6E23-C388-4816-9B18-A2677FC60316	DEC-0021	2022-11-09 08:50:15.5533333
9FAE8521-9519-4715-B5F8-B18912C34489	EDD-0007	2022-11-09 13:48:15.5600000
2F9A7160-D6A7-4765-8222-BBA5EF970B0C	EED-0066	2022-11-09 09:11:15.5666667
D8681FF1-F272-4E3E-A5BF-C346ABC54FFF	BCC-0070	2022-11-09 09:25:15.5733333
A4787A47-CA09-40F1-9B7B-C487ACDF9468	EBD-0071	2022-11-09 11:21:15.5833333
8DBFFF1E-6F2A-44DC-9417-DDB944B7910F	CBE-0063	2022-11-09 12:33:15.5933333
7AD0A6E0-9A1B-49AF-BBA5-F4F69FE72C39	CBE-0091	2022-11-09 15:44:15.6000000
1F77B74C-2228-4417-B49C-FAFCADC1076E	BBB-0022	2022-11-09 13:55:15.6066667
115B9F9C-2192-4EEF-AFC0-FCDFDB0BC3CF	CAA-0077	2022-11-09 17:22:15.6133333
E1D6C684-19A1-48D6-944E-FDF33DCAFF6F	DAE-0070	2022-11-09 16:25:15.6200000
E25DA463-7640-4F85-B0FE-220299F227E9	DBE-0072	2022-11-10 12:57:16.2900000
1D70A86A-B48D-4F0E-A442-501B7CD1EDE8	BEE-0002	2022-11-10 14:13:16.3000000
FCEB942C-AB78-4985-9AE6-50B70B1E241F	AAB-0073	2022-11-10 11:48:16.3033333
63D1ACA0-3411-44FB-8838-5E7945D05C23	BDE-0096	2022-11-10 08:41:16.3133333
480B71DC-1D6B-407E-A8EA-6874B29046A2	ADC-0044	2022-11-10 15:32:16.3200000
9D6BEDF2-472F-41EC-B96E-80A9FAA510EC	BBD-0066	2022-11-10 17:59:16.3266667
D4DFA1FD-B810-4687-9607-8526B44EC170	ABA-0052	2022-11-10 09:17:16.3333333
68C81B61-10BA-433B-94BA-8810ABC4259A	EBA-0083	2022-11-10 16:08:16.3400000
FA96792B-9556-4BFF-B3FD-A44FFD0DBB71	DAB-0043	2022-11-10 17:20:16.3433333
815C8331-3B98-416C-AC05-B4FBEE4DC2CF	EDD-0038	2022-11-10 15:49:16.3500000
688A03CE-B482-4EAC-A00C-C5695EFA8277	EBD-0084	2022-11-10 09:34:16.3733333
436B3709-AE7F-41DD-8E67-E0D212D88B93	BAE-0007	2022-11-10 13:49:16.3800000
E850E04C-D3EA-4AAF-80CA-E1B2EC967044	CEA-0098	2022-11-10 14:48:16.3833333
A9D1029F-4B74-4240-86A1-E7648B5B06AD	BED-0063	2022-11-10 14:34:16.3933333
D56923EB-C972-42E7-AF07-EA6B73947E54	AEE-0025	2022-11-10 10:03:16.3966667
85B1AE66-D11F-4D62-AA06-0AE7EFD52445	CBA-0055	2022-11-12 17:46:16.0833333
DA6E6BFF-A889-41C8-893A-1301894B3841	BDB-0032	2022-11-12 14:58:16.0900000
48C8A839-48E5-4A6F-B0CD-14990CFB991E	CCD-0003	2022-11-12 08:53:16.1000000
28280359-F8B8-44A4-BD6B-1B8001737B0D	CCA-0063	2022-11-12 08:48:16.1033333
15852058-1894-436C-BB31-1C7CD4FD59A3	AAC-0002	2022-11-12 09:04:16.1133333
F0B88236-1DFB-4A7B-9108-1E0389BC4F1C	EBD-0005	2022-11-12 12:42:16.1200000
3D2B9F26-9F7C-45C4-A015-221B4CC1589E	CDE-0089	2022-11-12 09:59:16.1233333
A5EF86F9-2586-42E6-94D1-31BF79FC7EEA	ABD-0099	2022-11-12 17:56:16.1300000
BF0B038E-18BD-4BE0-B786-322DB555EE68	BEC-0039	2022-11-12 11:03:16.1366667
A73D36EE-F73B-4847-B27A-3506CB6347D7	BEB-0016	2022-11-12 12:03:16.1666667
86ABE0D1-9230-44EF-A223-35595E15A3BB	DBC-0031	2022-11-12 17:29:16.1733333
7E5F4A78-C10B-4550-B724-38B8D1CB4179	EEB-0001	2022-11-12 13:18:16.1800000
C6EDBAEA-9758-40E4-B23F-3CC6614C17F3	AEB-0018	2022-11-12 08:54:16.1833333
137B0E7F-0A47-4E9C-951A-3FD3953523AD	ADE-0029	2022-11-12 11:53:16.1900000
92F6068B-E8D6-4463-B234-4C0C0550F442	CAD-0039	2022-11-12 13:58:16.1966667
DDB9EEFA-242B-4342-AF9B-587AE10D37B6	BCB-0063	2022-11-12 09:17:16.2033333
9E1871D8-F5A7-469F-BB1A-5B22F79B9BAC	DBB-0039	2022-11-12 16:01:16.2300000
792F64EF-AF2B-4D1F-9B6D-5BF5F4947AAC	ADA-0002	2022-11-12 08:58:16.2366667
3A633802-CBD6-4B46-B2FA-6015AD6AB871	CAA-0013	2022-11-12 09:21:16.2433333
7EB41170-6160-4CFC-8FCC-640E892F050A	EDA-0034	2022-11-12 13:58:16.2500000
DB639896-ADA6-4DD5-97FE-8128629B1C78	ADA-0020	2022-11-12 13:20:16.2566667
C9C562F5-3B59-4D7C-AF82-97E930A5EB92	EDA-0036	2022-11-12 11:03:16.2633333
7EFF7CC1-F40D-4DBB-8C77-9AAF82A276D6	AEE-0068	2022-11-12 17:15:16.2700000
EF0480C1-E447-44E0-A8C8-A009DD91859C	DAA-0061	2022-11-12 12:40:16.2800000
69601559-93AC-4648-8D27-ADEB0B730986	CDC-0042	2022-11-12 17:53:16.2833333
97C49A99-3FF5-45D1-9EBB-B12C2604D106	BDC-0078	2022-11-12 15:19:16.3366667
6AEA9D53-CD5A-44EF-A23E-B276943927D3	CEA-0006	2022-11-12 10:57:16.3700000
86AABF3B-A562-4233-BC56-BAF322F10C15	CDE-0062	2022-11-12 18:04:16.3800000
535E7E16-9D02-4CAE-9435-C79B14245824	DAD-0061	2022-11-12 14:48:16.3866667
FA053BAB-D7D1-44B6-ABAA-CBEA34D7B0A3	CAD-0060	2022-11-12 09:15:16.4033333
FD5613E4-A8F9-475B-BB43-EAE57764202D	EAE-0058	2022-11-12 14:16:16.4100000
3B3E3051-BB71-4AE0-B749-F52B7128EFA4	CAA-0043	2022-11-12 14:58:16.4166667
999EDC86-82B0-4D9D-A60A-FD91561E5426	DBD-0081	2022-11-12 15:06:16.4233333
5C68B544-6981-429D-9E6D-FF55A34F8C41	ABC-0090	2022-11-12 18:38:16.4300000
C8DFC151-3C62-43A3-AD3E-02FB0ACDC48F	AEC-0075	2022-11-16 16:38:15.8033333
EB81F318-6595-44E8-9032-1BCDF585A9B0	EAA-0085	2022-11-16 17:39:15.8133333
3D194CE9-4756-4CD3-8676-4377D335B405	DEA-0026	2022-11-16 18:39:15.8200000
01E46824-88F9-4128-AE29-4622EB0412C1	CEE-0041	2022-11-16 15:01:15.8266667
6D32CD08-17AC-4904-AA51-50A0EC4411D7	CDC-0077	2022-11-16 18:25:15.8333333
127C421E-330D-4F37-B04B-7BE0BBE84883	BEE-0035	2022-11-16 14:51:15.8400000
6F3DB393-B77F-45C3-B478-A97EE9E60B06	CBD-0013	2022-11-16 13:20:15.8466667
9CF24079-0C04-4D88-B113-B292AAD34EC5	CEE-0064	2022-11-16 14:20:15.8500000
C6BA5DDB-7DA4-4009-BD33-B5797089D4A3	AEE-0064	2022-11-16 11:27:15.8600000
2D849700-3389-4D3D-AD0A-F545C7B6E9FD	DAA-0055	2022-11-16 14:00:15.8633333
821E380E-FDF8-40E0-BB11-FA8D903CF376	DBA-0052	2022-11-16 14:02:15.8733333
B1440B7B-AB6F-468B-B35B-FD198E0CD6A9	ECE-0068	2022-11-16 16:44:15.8800000
2AB0388A-8B85-4C5F-B113-275586C986A9	BBC-0092	2022-11-17 12:39:16.5066667
06514D80-24B2-48C8-B9DC-3F78692C9987	EBD-0017	2022-11-17 15:01:16.5133333
CA4699E3-519F-4C30-86A8-482F08DF5C2F	BAB-0016	2022-11-17 11:19:16.5200000
1C200449-2CCA-4D3D-9F98-4F3EBE9CF9F9	CEC-0052	2022-11-17 10:32:16.5266667
14C27207-34A6-4328-84DA-57453D49EA20	BCE-0039	2022-11-17 15:09:16.5333333
9EC1BC43-D4BC-44D2-85DC-7046321913E7	DAE-0035	2022-11-17 17:41:16.5400000
24684313-BB8A-44D8-9D9E-718E2DA4E8A1	EDD-0096	2022-11-17 14:26:16.5666667
F024B639-3F3C-4E2B-8E47-879309B741C6	DDA-0038	2022-11-17 13:32:16.5733333
156858D0-23BC-4891-B8BB-9F6329E5790B	ECE-0055	2022-11-17 08:59:16.5800000
2E99A167-87F2-4DCA-8FB0-A238C14820A5	DBD-0057	2022-11-17 15:48:16.5866667
1199F1CA-DC51-4259-B141-A7D7EA71A714	CCE-0057	2022-11-17 14:21:16.5933333
44F90B01-3537-4017-A3FE-AAE952CD69FD	EAA-0016	2022-11-17 16:20:16.6000000
8B2D7C2E-B255-4F8A-BE9A-AE1A48C568A0	EAE-0095	2022-11-17 16:11:16.6166667
77528E80-74FD-4DCE-BB8E-BF8B5A3EAA2B	ECE-0037	2022-11-17 15:31:16.6266667
9FF7D16D-DD80-44FB-9122-CFD326BB633E	DDC-0002	2022-11-17 14:01:16.6333333
A0C16696-3C93-4CEE-AB7A-DD3A5C6731CE	BEA-0048	2022-11-17 15:59:16.6433333
9E3AEF5F-743B-4BDE-882B-DE60B9F64A56	AAE-0099	2022-11-17 16:17:16.6500000
C48613FB-D0EF-42C1-ABCC-E855809532A9	ECA-0009	2022-11-17 09:47:16.6566667
9E85C7C1-800D-408D-B9F0-EF512493B0E1	DAB-0079	2022-11-17 09:58:16.6633333
A325DE39-D234-4461-BC76-FE9AC37F81A5	CDA-0097	2022-11-17 10:33:16.6700000
45D5E0E9-90C5-48D6-9CF7-07B283A2EC09	EDA-0091	2022-11-18 17:39:16.6400000
83E1325F-64E2-412B-A3F1-15537ED7CE19	BEE-0090	2022-11-18 11:02:16.6466667
1A8A25D1-F707-4034-82D9-4478723E78D3	CBD-0087	2022-11-18 15:09:16.6533333
875B2446-909C-4488-8345-59F6425CEAFF	DBA-0024	2022-11-18 15:21:16.6633333
C28DBB70-8404-4EB6-BC69-6DCE2EECE26C	DCD-0037	2022-11-18 10:27:16.6700000
4B955C8F-66D0-4879-9200-7DF5551E1874	ADC-0060	2022-11-18 10:26:16.6766667
CEC0C518-6D6D-4A0B-83A2-83A80D97E69C	EDA-0047	2022-11-18 10:29:16.6866667
9C75D318-907C-414B-905C-88788C66D011	EEA-0064	2022-11-18 11:15:16.6933333
E2852539-59F9-4CD0-BC79-8F2339C80C58	CBE-0075	2022-11-18 11:28:16.7000000
EF982A85-9DDC-4DB1-9C70-A82372C44F22	CEC-0095	2022-11-18 11:01:16.7066667
7D265C5C-E7B1-4E27-929E-B01B160942C1	AEA-0084	2022-11-18 15:21:16.7133333
A1FFD232-29A6-4AD0-B70F-B84D32C1576F	CCB-0045	2022-11-18 10:44:16.7200000
3CCCCDF6-4293-4427-9FA7-E50DEFAF3546	ECD-0075	2022-11-18 18:22:16.7300000
40E53651-71FD-42C0-8438-F72EE0D46878	BED-0099	2022-11-18 15:39:16.7533333
AE7624F2-C4A8-42A3-97A0-29882D0A6674	BAE-0044	2022-11-19 08:50:17.3933333
9A3F88A1-34F5-48E9-A743-321F0754DCA8	DAD-0083	2022-11-19 18:24:17.4233333
00519088-B9FB-454E-8262-362EC067623F	ABC-0027	2022-11-19 10:22:17.5700000
6935A8A3-C434-45D2-ADDE-527AC474B1E4	DEA-0071	2022-11-19 08:44:17.5800000
F411E8CF-500E-491F-B293-56C2B1ACF64C	CAE-0063	2022-11-19 18:37:17.5866667
6B870800-02AA-40A4-B67C-8468604D3F96	CBE-0041	2022-11-19 15:02:17.6900000
B6696E45-C0F8-4D99-95FE-96E3B12D0979	EEC-0028	2022-11-19 12:49:17.6966667
FBD9C3C3-B10D-4494-99B5-A2A3536B713C	BAD-0060	2022-11-19 10:25:17.7066667
9407F178-83C4-48D0-876F-AEFB9422CB10	CCC-0003	2022-11-19 16:43:17.7166667
F69B9054-A0C6-4F32-9DDA-E2C326B48F97	BDB-0026	2022-11-19 17:38:17.7300000
1AEF6E8E-55F4-480A-B391-11FA1AB58A4C	CDA-0046	2022-11-20 16:12:15.6800000
59C92A23-42A5-4D8C-99D0-495C69B69A38	EDA-0083	2022-11-20 09:28:15.6900000
D7AA45E3-8556-41F4-A866-979AA0B55C71	CDD-0039	2022-11-20 12:19:15.6966667
303C9FA0-286D-4BBE-A0C8-9B6B36C1F9BC	CDB-0046	2022-11-20 09:26:15.7033333
