TransactionID	trno	TrDate	Amt	RefNo	PaymentType	Party	BankName	CreatedBy	CreatedOn					
57	7079BA5E-8D80-4923-9240-E5757A420154	2022-10-15 09:22:25.8433333	7694.70	9B6A10CF-D118-4503-92F9-280252C7A37A	InvoiceAdvance	"Tailspin Toys (Dracut, MA)"	IDFC	System Generated	2022-10-15 09:22:25.8433333					
59	AF4DAA19-1C55-45FF-AB87-3C4983E8FAF9	2022-10-16 12:03:26.9166667	8100.43	FD93406C-6571-4F13-84E0-02950D38151D	ShipmentAdvance	ABD-0048	PNB	System Generated	2022-10-16 12:03:26.9166667					
61	3C769965-F6F9-4169-9B11-DCB125622C7E	2022-10-16 10:12:26.9300000	5945.33	106046E6-2D33-4E5A-B4C5-0C57F942926D	InvoiceAdvance	Arka Chatterjee	Cash	System Generated	2022-10-16 10:12:26.9300000					
63	4DCD81F5-7813-4BF5-8BB2-0151F7BBB3C7	2022-10-16 10:20:26.9433333	9528.01	EEEDF426-467F-43E9-8172-2D514715F982	InvoiceAdvance	Eliza Persson	HDFC	System Generated	2022-10-16 10:20:26.9433333					
65	E6539800-7EA9-4B78-9A0F-135855002F80	2022-10-16 18:11:26.9566667	14596.52	D5CC9C6A-DC6A-44A7-AD66-33381A821941	InvoiceAdvance	Rajeev Sandhu	Axis	System Generated	2022-10-16 18:11:26.9566667					
67	D7C43AB5-BD38-41D6-84ED-26F5E069F09A	2022-10-16 14:24:26.9700000	10598.74	74D5E119-3A42-47B6-BEEE-37A36369A4D4	InvoiceAdvance	Gopalgobinda Sikdar	SBI	System Generated	2022-10-16 14:24:26.9700000					
69	1270C227-C68A-4CC4-BBE4-ED7DB9BE8E0C	2022-10-17 12:37:26.3166667	7300.31	FA0A488F-A841-4A18-9BB9-08F768A1AA57	ShipmentAdvance	ADA-0004	ICICI	System Generated	2022-10-17 12:37:26.3166667					
71	3C6ADD26-021C-4C7F-98FA-4165BB108ADF	2022-10-17 17:13:26.3333333	18246.32	1D31C087-1F80-42FC-ADDF-0D1624D6C68B	ShipmentAdvance	BBA-0049	IDFC	System Generated	2022-10-17 17:13:26.3333333					
73	9255C9B7-80D3-43B0-8BEA-A757648ED3C7	2022-10-17 16:43:26.3433333	10844.65	F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	ShipmentAdvance	CAC-0007	HDFC	System Generated	2022-10-17 16:43:26.3433333					
75	E966BCC1-1F2B-40E0-9DCF-2BAE53D95933	2022-10-17 11:06:26.3566667	8789.58	03E3B527-EE74-46E6-A091-3B6FE30A9BD9	InvoiceAdvance	"Tailspin Toys (Tooele, UT)"	Paytm	System Generated	2022-10-17 11:06:26.3566667					
77	B725A044-9E8E-4C1D-9966-9E9BAFD45527	2022-10-17 12:17:26.3700000	13641.79	5E28B977-22D7-4373-91B0-4775CF65088A	InvoiceAdvance	"Tailspin Toys (Lake Hughes, CA)"	IDFC	System Generated	2022-10-17 12:17:26.3700000					
79	59C3DD88-7B10-4178-87E2-1468B18B10E9	2022-10-17 15:40:26.3866667	8509.78	D66F4C26-4D4A-4C84-91EB-49942354679F	InvoiceAdvance	Vitalijs Baltins	Axis	System Generated	2022-10-17 15:40:26.3866667					
81	F1508238-5D3C-4CB5-B961-CDC1119D8B9A	2022-10-17 11:29:11.3133333	7118.83	151104E1-DB3E-404D-9DA3-19F44C910F4B	ShipmentAdvance	CBC-0039	Axis	System Generated	2022-10-17 11:29:11.3133333					
83	7CFCA0AB-C2E6-4F75-AC65-FDFF141349D1	2022-10-17 11:28:11.3700000	6223.20	688B462F-212A-4CC5-9D4F-21C4CDC64E89	ShipmentAdvance	BEE-0062	HDFC	System Generated	2022-10-17 11:28:11.3700000					
85	A4138F9B-35E3-4DF6-B3FE-DE9EEDD5789D	2022-10-17 15:25:11.4200000	5254.50	61DC7F47-28B4-41C1-AB37-24EDFDAB13E4	ShipmentAdvance	CAC-0076	Cash	System Generated	2022-10-17 15:25:11.4200000					
87	21E6158B-27BC-41CB-9845-D6EAA9782294	2022-10-17 16:59:11.4533333	15753.38	10313B32-43B6-478A-83E8-29B9294A9F12	ShipmentAdvance	BBD-0014	Axis	System Generated	2022-10-17 16:59:11.4533333					
89	F329130E-6503-4BCD-90BB-FAFBFA727217	2022-10-17 16:13:11.4733333	12396.46	3151B8F8-23B5-4A86-9ED7-49D977F1BA57	InvoiceAdvance	"Tailspin Toys (Wallagrass, ME)"	IDFC	System Generated	2022-10-17 16:13:11.4733333					
91	E00C6957-689A-4AE4-B62A-6B5311DCEB4C	2022-10-17 19:08:11.5033333	11703.40	BA55A4E8-D546-4BED-9BCF-5C7B52CC7063	InvoiceAdvance	Arundhati Majumdar	HDFC	System Generated	2022-10-17 19:08:11.5033333					
93	EE48A7DC-2B2E-4662-96E8-B515B974532E	2022-10-18 16:35:10.7266667	13121.26	A91DF83B-F83C-4C37-9E79-0B1055FFED50	InvoiceAdvance	Dhanishta Mokkapati	Paytm	System Generated	2022-10-18 16:35:10.7266667					
95	077B2E11-DD3C-4311-A04D-CE9A7B72C84F	2022-10-18 15:29:10.7466667	11782.62	B59FE3E0-71D0-4DCE-9179-10F2CDB552F1	InvoiceAdvance	Ebru Erdogan	HDFC	System Generated	2022-10-18 15:29:10.7466667					
97	5D9535B5-3CBF-4E39-8220-03F7A2DF4285	2022-10-19 14:39:11.1733333	7960.47	32EF4490-58E4-46C9-9DE8-03587A34BB89	ShipmentAdvance	DDA-0052	PNB	System Generated	2022-10-19 14:39:11.1733333					
99	8CAC4A03-E868-41FF-A9EA-CF4AADA51CBC	2022-10-19 09:29:11.1966667	15781.33	357F29ED-27AC-4739-8749-071F251BBBD8	ShipmentAdvance	CAB-0035	IDFC	System Generated	2022-10-19 09:29:11.1966667					
101	987AFE21-F9A4-4680-A3C7-FFC22BBF4504	2022-10-19 09:52:11.2266667	15102.57	B2DAF3B8-3AB6-43E3-B60F-0AAC4732D65D	ShipmentAdvance	DEE-0016	Paytm	System Generated	2022-10-19 09:52:11.2266667					
103	6ADBBC28-2C70-4F98-8433-96454BD4B0E2	2022-10-19 11:40:11.4933333	3270.05	E48AC25C-CBB1-49BC-9A98-048544812A56	ShipmentBalancePayment	ECC-0007	UPI	System Generated	2022-10-19 11:40:11.4933333					
105	B3860429-D9A0-478F-8FC4-5A4F6320C028	2022-10-19 17:10:11.5100000	5972.98	FA0A488F-A841-4A18-9BB9-08F768A1AA57	ShipmentBalancePayment	ADA-0004	Paytm	System Generated	2022-10-19 17:10:11.5100000					
107	2FD576AA-F1EE-4751-8257-5CC8386DCE03	2022-10-19 12:01:11.5300000	10010.45	F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	ShipmentBalancePayment	CAC-0007	HDFC	System Generated	2022-10-19 12:01:11.5300000					
109	DEBD7883-05EA-4153-B890-35A608CF4631	2022-10-19 09:25:11.5466667	9069.00	433A8842-7F8D-4664-92BA-1D2118EA05E6	InvoiceAdvance	"Tailspin Toys (Hiteman, IA)"	Cash	System Generated	2022-10-19 09:25:11.5466667					
111	A6593049-836C-435B-A8F0-E18203E44C6A	2022-10-19 18:19:11.5600000	10916.32	06870944-EEAC-402C-BD6C-230353CC3D7B	InvoiceAdvance	"Tailspin Toys (Ikatan, AK)"	ICICI	System Generated	2022-10-19 18:19:11.5600000					
113	654BB270-C98E-42E8-98F5-C3F05694BC7D	2022-10-19 18:17:12.0400000	10572.72	BB7F2C70-6CAD-47F0-83E9-17C87242232F	InvoiceBalancePayment	"Tailspin Toys (Sylvanite, MT)"	ICICI	System Generated	2022-10-19 18:17:12.0400000					
115	F0557BA1-C4BA-4E0B-9BC5-0C667DFB7BC3	2022-10-19 10:59:12.0766667	11158.29	279001EA-66B2-4672-A9AC-1A19581EA774	InvoiceBalancePayment	Taneli Riutta	ICICI	System Generated	2022-10-19 10:59:12.0766667					
117	4A11F21C-64A1-4EED-994B-EAD11EE371DA	2022-10-19 14:41:12.0933333	2564.90	9B6A10CF-D118-4503-92F9-280252C7A37A	InvoiceBalancePayment	"Tailspin Toys (Dracut, MA)"	PNB	System Generated	2022-10-19 14:41:12.0933333					
119	603CF2B5-F38E-40CC-AC8A-80BADC399495	2022-10-19 11:10:12.1066667	8795.08	EEEDF426-467F-43E9-8172-2D514715F982	InvoiceBalancePayment	Eliza Persson	IDFC	System Generated	2022-10-19 11:10:12.1066667					
121	26317287-BA97-431D-BDCC-386F3309C333	2022-10-20 14:15:12.3166667	5889.48	6DEF210C-FEBD-4972-80F8-04E2A8F93144	ShipmentAdvance	AEC-0047	ICICI	System Generated	2022-10-20 14:15:12.3166667					
123	4E5BC96C-928F-48DA-A8AD-0384A8F94285	2022-10-20 13:16:12.3300000	14076.95	11F176C4-46CB-4384-AF82-187370F660B8	ShipmentAdvance	EAC-0035	IDFC	System Generated	2022-10-20 13:16:12.3300000					
125	E0025B20-C89C-4312-A637-9C376DA11153	2022-10-20 18:05:12.3466667	7814.51	2EE0E78A-4181-45FD-B3DB-261ED9C41CFE	ShipmentAdvance	DBB-0024	SBI	System Generated	2022-10-20 18:05:12.3466667					
127	64EBDD59-CB87-4EA8-880B-54C6CC66EA49	2022-10-20 14:37:12.3633333	5520.69	712A5625-2A3C-4754-93B1-19F78A534936	InvoiceAdvance	Damodar Shenoy	SBI	System Generated	2022-10-20 14:37:12.3633333					
129	DC34A73A-D73B-4FB2-A4F3-C4A0302EA12A	2022-10-20 17:00:12.3766667	10902.05	3973EA3D-897B-47D0-B2A8-28D9ED16EE23	InvoiceAdvance	"Tailspin Toys (Sentinel Butte, ND)"	Cash	System Generated	2022-10-20 17:00:12.3766667					
131	BC77EF80-A0F4-4AB3-BA17-A391BE792A08	2022-10-20 09:03:12.3933333	9147.60	2327C74A-07C7-49AB-907B-2FA8DA2BEF84	InvoiceAdvance	"Tailspin Toys (Diablock, KY)"	IDFC	System Generated	2022-10-20 09:03:12.3933333					
133	A3A08427-F369-45B9-9D62-F53E00D672CF	2022-10-20 14:55:12.4100000	10363.97	7A96059B-963C-47FA-9062-317DAB6560F5	InvoiceAdvance	"Wingtip Toys (Key Biscayne, FL)"	ICICI	System Generated	2022-10-20 14:55:12.4100000					
135	BE14D10A-9D56-4708-92B7-5B94EA305F59	2022-10-20 15:37:12.4266667	2197.40	03E3B527-EE74-46E6-A091-3B6FE30A9BD9	InvoiceBalancePayment	"Tailspin Toys (Tooele, UT)"	HDFC	System Generated	2022-10-20 15:37:12.4266667					
137	DA99904E-0B95-478A-8175-D9C09A419DB2	2022-10-20 08:54:12.4566667	4547.26	5E28B977-22D7-4373-91B0-4775CF65088A	InvoiceBalancePayment	"Tailspin Toys (Lake Hughes, CA)"	PNB	System Generated	2022-10-20 08:54:12.4566667					
139	26E4D706-B8C2-4CE5-BF08-ABBEAAF29350	2022-10-20 09:56:12.4966667	10803.14	BA55A4E8-D546-4BED-9BCF-5C7B52CC7063	InvoiceBalancePayment	Arundhati Majumdar	Cash	System Generated	2022-10-20 09:56:12.4966667					
141	1D43A4C6-5108-4CDF-B407-81F6D51E0BFB	2022-10-20 16:38:12.5100000	4920.58	26EBDF86-1A52-4389-8C0C-DD11BFDA3683	InvoiceBalancePayment	"Tailspin Toys (Cherry Grove Beach, SC)"	Cash	System Generated	2022-10-20 16:38:12.5100000					
143	EC556932-47A5-4584-ADE5-9AB5F0C61533	2022-10-21 10:11:12.0533333	11302.82	BEA71751-963B-4CD1-98E2-2E6192BC7E46	ShipmentAdvance	EEC-0021	ICICI	System Generated	2022-10-21 10:11:12.0533333					
145	9C3AF0E5-6BF0-4560-B529-430DE995D490	2022-10-21 11:28:12.0666667	7532.19	C7FA2424-078B-46D7-B720-2F6BA02F656D	ShipmentAdvance	BCD-0007	SBI	System Generated	2022-10-21 11:28:12.0666667					
147	00AE2858-9CC5-44D3-B854-C87F7A3FC7B5	2022-10-21 10:05:12.0800000	9177.50	1E74C248-48E2-486D-9ABB-3121DA675275	ShipmentAdvance	BAD-0049	UPI	System Generated	2022-10-21 10:05:12.0800000					
149	F8B8D1AE-3141-4EE3-A32E-903FDD01C14F	2022-10-21 10:34:12.0933333	15663.73	17FB3DED-6007-4D7D-9DB6-31F877C81583	ShipmentAdvance	ADB-0002	Axis	System Generated	2022-10-21 10:34:12.0933333					
151	B07870A1-3700-4D9D-9C39-C34D4DA0E1C8	2022-10-21 13:45:12.1100000	9507.04	C51C6193-19AF-468F-ACF5-0523F21B84DA	InvoiceAdvance	Om Yadav	Cash	System Generated	2022-10-21 13:45:12.1100000					
153	C409098E-D393-456F-816F-9E3BE0F25398	2022-10-21 16:45:12.1200000	11194.35	2C99C376-7A90-493C-A3CE-0ABFB5736E28	InvoiceAdvance	"Tailspin Toys (Scofield, UT)"	SBI	System Generated	2022-10-21 16:45:12.1200000					
155	BA14E6D9-C967-421B-872C-BA3D53E86FC0	2022-10-21 11:30:12.1866667	9849.88	0EB29E36-BF3C-44B3-8324-1B1FA94D86B4	InvoiceAdvance	"Wingtip Toys (Mahaffey, PA)"	Cash	System Generated	2022-10-21 11:30:12.1866667					
157	01356980-055B-49C8-A10A-8B7373B92E4D	2022-10-22 12:07:20.9900000	8664.56	AF5FBDD4-DB7B-44C2-B5A0-1DD4A767A150	ShipmentAdvance	DEB-0080	Cash	System Generated	2022-10-22 12:07:20.9900000					
159	F1931AA1-B19E-4167-836C-C77BE2478E0F	2022-10-22 18:31:21.2700000	7137.77	C6255AFE-4A8D-4D72-8134-339DEF4B6F8D	ShipmentAdvance	BDD-0055	PNB	System Generated	2022-10-22 18:31:21.2700000					
161	3B686A0C-E833-4961-8497-FBF7CD72B0F9	2022-10-22 18:10:21.2866667	8413.67	775B793B-6EC2-49B5-BE70-33CE8E1A0598	ShipmentAdvance	CDB-0037	UPI	System Generated	2022-10-22 18:10:21.2866667					
163	0E9910C5-1347-46E0-8972-2DB0E7D595B3	2022-10-22 15:03:21.4833333	10248.51	8CDA6C5E-8B98-44E5-BB57-364421702AA5	ShipmentAdvance	CBE-0092	UPI	System Generated	2022-10-22 15:03:21.4833333					
165	9282DA01-D375-4622-A5CF-DBAEDCB6F1A4	2022-10-22 15:47:22.0400000	6739.78	CBD0C25C-953F-4E6F-8EA0-09AB05C94063	InvoiceAdvance	Tomo Vidovic	HDFC	System Generated	2022-10-22 15:47:22.0400000					
167	13CC4713-B0F9-49CB-83C1-13E1AD8F37E3	2022-10-23 16:07:12.0333333	8176.33	383E8440-7866-4C9F-9D27-16143D2122CA	ShipmentAdvance	DCA-0051	Cash	System Generated	2022-10-23 16:07:12.0333333					
169	6210DF46-5DD4-4D4A-96DC-A6F4DCC82109	2022-10-23 14:14:12.0466667	10415.55	982EE649-78FC-4EFD-BC06-2BF172EF874F	ShipmentAdvance	DCC-0038	ICICI	System Generated	2022-10-23 14:14:12.0466667					
171	BC51697C-C9CC-41BA-B63D-014394115590	2022-10-23 09:30:12.1033333	3775.64	B2DAF3B8-3AB6-43E3-B60F-0AAC4732D65D	ShipmentBalancePayment	DEE-0016	PNB	System Generated	2022-10-23 09:30:12.1033333					
173	184D13EA-8F71-4942-AAE3-D69B24C2D85B	2022-10-23 11:31:12.1166667	6082.11	1D31C087-1F80-42FC-ADDF-0D1624D6C68B	ShipmentBalancePayment	BBA-0049	ICICI	System Generated	2022-10-23 11:31:12.1166667					
175	64BA0FC7-55C0-4A92-B851-5F7B359B34DF	2022-10-23 14:48:12.1333333	9462.09	39633DEA-6D58-4C6F-A785-0F36BDAC170A	InvoiceAdvance	"Tailspin Toys (King Cove, AK)"	Paytm	System Generated	2022-10-23 14:48:12.1333333					
177	5AD3FF78-A833-42F7-8569-BB10C8D39DDC	2022-10-23 16:56:12.1466667	17718.30	04E6B7F1-074A-4316-93E1-1CAE35B2182C	InvoiceAdvance	"Tailspin Toys (Larose, LA)"	Paytm	System Generated	2022-10-23 16:56:12.1466667					
179	B608B17F-92E2-4292-9F04-2AB6B732C141	2022-10-23 11:30:12.1600000	11901.88	BCF248D4-64FC-4C7C-9CB9-3617467E0EA4	InvoiceAdvance	"Wingtip Toys (San Jacinto, CA)"	Cash	System Generated	2022-10-23 11:30:12.1600000					
181	78281E81-D94A-455D-94A4-5E5B09A4866E	2022-10-23 14:17:12.1833333	3280.31	A91DF83B-F83C-4C37-9E79-0B1055FFED50	InvoiceBalancePayment	Dhanishta Mokkapati	IDFC	System Generated	2022-10-23 14:17:12.1833333					
183	9D5C4BAF-667D-466C-97AD-6BDC1E244C9E	2022-10-23 10:10:12.1966667	6440.77	106046E6-2D33-4E5A-B4C5-0C57F942926D	InvoiceBalancePayment	Arka Chatterjee	HDFC	System Generated	2022-10-23 10:10:12.1966667					
185	35A027B3-AEE6-41FE-A8E3-26D247C15FF8	2022-10-24 15:39:12.4333333	6889.51	0BB7F7ED-801B-4E00-BE30-16F9F3916E22	ShipmentAdvance	BDD-0010	SBI	System Generated	2022-10-24 15:39:12.4333333					
187	B1F840D5-D7E3-4EDB-A594-C1F84931D668	2022-10-24 16:13:12.4833333	8100.43	FD93406C-6571-4F13-84E0-02950D38151D	ShipmentBalancePayment	ABD-0048	Axis	System Generated	2022-10-24 16:13:12.4833333					
189	F1956BF0-9EB3-4F67-942C-3E481053AEAC	2022-10-24 15:03:12.4966667	13788.26	85F519B9-DF4A-41E3-A9BF-2BA7610D0C83	InvoiceAdvance	"Wingtip Toys (Birds, IL)"	Paytm	System Generated	2022-10-24 15:03:12.4966667					
191	589FB765-0638-410C-A3DE-06894C0679C8	2022-10-24 16:56:12.5366667	13462.66	F0B8635E-AC40-4896-A0D2-3AC98F5ABBF8	InvoiceAdvance	Baran Jonsson	Axis	System Generated	2022-10-24 16:56:12.5366667					
193	DF72AA1C-AAE1-44FC-A8CB-A012A5018210	2022-10-24 12:49:12.5533333	6221.34	CBD0C25C-953F-4E6F-8EA0-09AB05C94063	InvoiceBalancePayment	Tomo Vidovic	HDFC	System Generated	2022-10-24 12:49:12.5533333					
195	19066278-14D6-493E-950F-C5F0A7DFB07C	2022-10-24 17:34:12.5733333	10876.27	B59FE3E0-71D0-4DCE-9179-10F2CDB552F1	InvoiceBalancePayment	Ebru Erdogan	IDFC	System Generated	2022-10-24 17:34:12.5733333					
197	CFB40DD6-F696-417E-AC1D-6631557BD9BC	2022-10-24 09:25:12.5866667	9824.75	433A8842-7F8D-4664-92BA-1D2118EA05E6	InvoiceBalancePayment	"Tailspin Toys (Hiteman, IA)"	Axis	System Generated	2022-10-24 09:25:12.5866667					
199	80EC54DB-3FFC-431B-9CDA-FF5D6C91D088	2022-10-24 16:59:12.6200000	3049.20	2327C74A-07C7-49AB-907B-2FA8DA2BEF84	InvoiceBalancePayment	"Tailspin Toys (Diablock, KY)"	Axis	System Generated	2022-10-24 16:59:12.6200000					
201	F7CF7233-09A6-4826-AE71-5965911C466F	2022-10-25 11:20:12.9133333	13986.30	4B4CD454-22DA-439C-9AB8-149F166E2CD1	ShipmentAdvance	CDC-0021	Axis	System Generated	2022-10-25 11:20:12.9133333					
203	981507E5-6390-4093-9A51-833EAB408D07	2022-10-25 17:42:12.9266667	9138.74	341BA530-1AC7-4B89-BD25-1D7E51EDC7E0	ShipmentAdvance	ACD-0089	PNB	System Generated	2022-10-25 17:42:12.9266667					
205	BEA80027-7A0C-4187-8F09-66F308E56F8F	2022-10-25 18:19:12.9433333	10269.19	6576FE7E-95B2-429D-8A9C-1E8A8E8179C2	ShipmentAdvance	CDD-0010	HDFC	System Generated	2022-10-25 18:19:12.9433333					
207	18C8273B-188A-4DD9-A99E-746FDA5C7EA3	2022-10-25 13:04:12.9600000	7180.85	C8943562-10BD-4CA2-B1C3-297087A47E39	ShipmentAdvance	EAD-0021	PNB	System Generated	2022-10-25 13:04:12.9600000					
209	8ECC0BEB-C60E-4BFC-99A3-8501AEA655E8	2022-10-25 17:17:12.9766667	7960.46	32EF4490-58E4-46C9-9DE8-03587A34BB89	ShipmentBalancePayment	DDA-0052	HDFC	System Generated	2022-10-25 17:17:12.9766667					
211	891DA27E-A0F8-4736-B1EB-F7075135C4DD	2022-10-25 12:36:13.0166667	5260.44	357F29ED-27AC-4739-8749-071F251BBBD8	ShipmentBalancePayment	CAB-0035	ICICI	System Generated	2022-10-25 12:36:13.0166667					
213	AB4173FB-2314-4ECA-A252-3D254DB18FDC	2022-10-25 08:53:13.0300000	4692.32	11F176C4-46CB-4384-AF82-187370F660B8	ShipmentBalancePayment	EAC-0035	SBI	System Generated	2022-10-25 08:53:13.0300000					
215	16284511-E415-4958-A572-179CF8B75CF9	2022-10-25 10:02:13.0433333	7236.63	2FAEC2E4-38E8-4179-B0E6-0530A9CEC2AE	InvoiceAdvance	Adrian Andreasson	PNB	System Generated	2022-10-25 10:02:13.0433333					
217	705CB9BF-7853-4FBA-89CD-FE1FABF75346	2022-10-25 09:16:13.0566667	12948.89	903D7673-3441-41E6-BBF4-3D446EF8C79D	InvoiceAdvance	Anna Gyarmathi	Axis	System Generated	2022-10-25 09:16:13.0566667					
219	27D9966A-5A76-47E0-932C-78C78BCB654C	2022-10-25 11:29:13.0733333	8931.53	06870944-EEAC-402C-BD6C-230353CC3D7B	InvoiceBalancePayment	"Tailspin Toys (Ikatan, AK)"	SBI	System Generated	2022-10-25 11:29:13.0733333					
221	D069210D-6A2E-468F-8A62-076280C96385	2022-10-25 13:13:13.0866667	8479.62	7A96059B-963C-47FA-9062-317DAB6560F5	InvoiceBalancePayment	"Wingtip Toys (Key Biscayne, FL)"	HDFC	System Generated	2022-10-25 13:13:13.0866667					
223	959B41E0-23A5-4E35-887B-9A532C631E2B	2022-10-25 13:49:13.1000000	7519.42	D5CC9C6A-DC6A-44A7-AD66-33381A821941	InvoiceBalancePayment	Rajeev Sandhu	HDFC	System Generated	2022-10-25 13:49:13.1000000					
225	F516039B-AA1B-4006-8AD7-F168DBB4979D	2022-10-26 15:41:14.9400000	9902.25	818A6FC2-F52E-41A9-AA61-33E07C553D6D	ShipmentAdvance	DCD-0089	Cash	System Generated	2022-10-26 15:41:14.9400000					
227	3F8B8D78-1387-4F3A-B72D-C3C790F57B7F	2022-10-26 16:57:14.9533333	11812.92	1252BCE5-CEA8-4128-BAE9-35671D092D91	ShipmentAdvance	DCD-0050	PNB	System Generated	2022-10-26 16:57:14.9533333					
229	41ED1EDB-C2E8-4841-A4AA-66E493085E67	2022-10-26 18:21:14.9933333	10646.43	4F8803FF-3E1B-49C2-A24B-399D4C56D580	ShipmentAdvance	ACD-0084	PNB	System Generated	2022-10-26 18:21:14.9933333					
231	C5A3E119-1D37-4336-A5EA-0026FC22D937	2022-10-26 10:59:15.0266667	5326.63	C4037D64-D00F-4DC8-B035-190E57BBE30F	ShipmentBalancePayment	AAD-0024	UPI	System Generated	2022-10-26 10:59:15.0266667					
233	5E0B6524-4112-4844-AB5F-BD9FEF12A3A4	2022-10-26 16:22:15.0900000	9738.75	EB2F41F5-4A05-4EF4-AECD-23BF321CA87E	InvoiceAdvance	"Tailspin Toys (Arbor Vitae, WI)"	IDFC	System Generated	2022-10-26 16:22:15.0900000					
235	FFD85C58-2B10-4264-BAD0-30BD46B3D099	2022-10-26 15:20:15.1100000	8031.76	5DB74118-B5B8-42E3-BBC9-3EBF4CB8EDDF	InvoiceAdvance	Isidora Morales	Axis	System Generated	2022-10-26 15:20:15.1100000					
237	87078918-29DD-4665-B028-9E4B5AD26C09	2022-10-26 11:08:15.1300000	11373.03	AA70A3EC-654E-4985-B28C-415ED9409D28	InvoiceAdvance	Drazenka Jelic	ICICI	System Generated	2022-10-26 11:08:15.1300000					
239	A333DFFC-F794-4D77-940E-A20C0CED82EC	2022-10-26 14:15:15.1600000	9833.17	FF45D725-0A37-4018-BFD4-4223565E6498	InvoiceAdvance	Ivan Sepulveda	ICICI	System Generated	2022-10-26 14:15:15.1600000					
241	E4F73016-FB1C-4861-9294-3674D08850FF	2022-10-26 14:59:15.1800000	12893.71	BCF248D4-64FC-4C7C-9CB9-3617467E0EA4	InvoiceBalancePayment	"Wingtip Toys (San Jacinto, CA)"	UPI	System Generated	2022-10-26 14:59:15.1800000					
243	1299E28F-CDF8-4445-B049-2809A54E3510	2022-10-27 16:59:16.1266667	14374.80	0E71555C-4748-4A58-9537-291CEEBE015F	InvoiceAdvance	"Tailspin Toys (Frankewing, TN)"	Paytm	System Generated	2022-10-27 16:59:16.1266667					
245	5681DB0D-221A-412F-BB55-E0520127D342	2022-10-27 14:51:16.1500000	11799.10	CCB01AEA-8E0A-44B4-A89E-307DD3228E1D	InvoiceAdvance	Violetta KlanCisar	PNB	System Generated	2022-10-27 14:51:16.1500000					
247	0A84705B-2718-4D4D-BFF4-BCACAEB2EF98	2022-10-27 18:10:16.1833333	7547.81	B1E8AE9D-8547-45C6-8E02-34DFB5831D35	InvoiceAdvance	"Wingtip Toys (Mickleton, NJ)"	PNB	System Generated	2022-10-27 18:10:16.1833333					
