TrNo	TrDate	Amt	Type	Cheque	RefNo	PaymentType	Party	BankName	detail	CreatedBy	CreatedOn
AF4DAA19-1C55-45FF-AB87-3C4983E8FAF9	2022-10-16 12:03:26.9166667	8100.43	Dr	62C18DBB-B186-49D4-8E05-EFDA086031B9	FD93406C-6571-4F13-84E0-02950D38151D	ShipmentAdvance	Learning Ltd.	PNB	PNB - 62C18DBB-B186-49D4-8E05-EFDA086031B9 - 8100.43	System Generated	2022-10-16 12:03:26.9166667
3C769965-F6F9-4169-9B11-DCB125622C7E	2022-10-16 10:12:26.9300000	5945.33	Dr	NULL	106046E6-2D33-4E5A-B4C5-0C57F942926D	InvoiceAdvance	Arka Chatterjee	Cash	Cash -  - 5945.33	System Generated	2022-10-16 10:12:26.9300000
3C769965-F6F9-4169-9B11-DCB125622C7E	2022-10-16 10:12:26.9300000	-5945.33	Cr	NULL	106046E6-2D33-4E5A-B4C5-0C57F942926D	InvoiceAdvance	Learning Ltd.	Cash	Cash -  - -5945.33	System Generated	2022-10-16 10:12:26.9300000
4DCD81F5-7813-4BF5-8BB2-0151F7BBB3C7	2022-10-16 10:20:26.9433333	9528.01	Dr	B0F376D3-C806-47E7-8280-C8608D9CD6BE	EEEDF426-467F-43E9-8172-2D514715F982	InvoiceAdvance	Eliza Persson	HDFC	HDFC - B0F376D3-C806-47E7-8280-C8608D9CD6BE - 9528.01	System Generated	2022-10-16 10:20:26.9433333
4DCD81F5-7813-4BF5-8BB2-0151F7BBB3C7	2022-10-16 10:20:26.9433333	-9528.01	Cr	B0F376D3-C806-47E7-8280-C8608D9CD6BE	EEEDF426-467F-43E9-8172-2D514715F982	InvoiceAdvance	Learning Ltd.	HDFC	HDFC - B0F376D3-C806-47E7-8280-C8608D9CD6BE - -9528.01	System Generated	2022-10-16 10:20:26.9433333
E6539800-7EA9-4B78-9A0F-135855002F80	2022-10-16 18:11:26.9566667	14596.52	Dr	02084CAA-E4FA-47B8-B83E-D074529A5207	D5CC9C6A-DC6A-44A7-AD66-33381A821941	InvoiceAdvance	Rajeev Sandhu	Axis	Axis - 02084CAA-E4FA-47B8-B83E-D074529A5207 - 14596.52	System Generated	2022-10-16 18:11:26.9566667
E6539800-7EA9-4B78-9A0F-135855002F80	2022-10-16 18:11:26.9566667	-14596.52	Cr	02084CAA-E4FA-47B8-B83E-D074529A5207	D5CC9C6A-DC6A-44A7-AD66-33381A821941	InvoiceAdvance	Learning Ltd.	Axis	Axis - 02084CAA-E4FA-47B8-B83E-D074529A5207 - -14596.52	System Generated	2022-10-16 18:11:26.9566667
D7C43AB5-BD38-41D6-84ED-26F5E069F09A	2022-10-16 14:24:26.9700000	10598.74	Dr	BCA4ED75-6F9C-4DD5-92BE-E60D5E5A980D	74D5E119-3A42-47B6-BEEE-37A36369A4D4	InvoiceAdvance	Gopalgobinda Sikdar	SBI	SBI - BCA4ED75-6F9C-4DD5-92BE-E60D5E5A980D - 10598.74	System Generated	2022-10-16 14:24:26.9700000
D7C43AB5-BD38-41D6-84ED-26F5E069F09A	2022-10-16 14:24:26.9700000	-10598.74	Cr	BCA4ED75-6F9C-4DD5-92BE-E60D5E5A980D	74D5E119-3A42-47B6-BEEE-37A36369A4D4	InvoiceAdvance	Learning Ltd.	SBI	SBI - BCA4ED75-6F9C-4DD5-92BE-E60D5E5A980D - -10598.74	System Generated	2022-10-16 14:24:26.9700000
1270C227-C68A-4CC4-BBE4-ED7DB9BE8E0C	2022-10-17 12:37:26.3166667	-7300.31	Cr	08A62888-B35B-404E-98F0-83B07ABBD818	FA0A488F-A841-4A18-9BB9-08F768A1AA57	ShipmentAdvance	ADA-0004	ICICI	ICICI - 08A62888-B35B-404E-98F0-83B07ABBD818 - -7300.31	System Generated	2022-10-17 12:37:26.3166667
1270C227-C68A-4CC4-BBE4-ED7DB9BE8E0C	2022-10-17 12:37:26.3166667	7300.31	Dr	08A62888-B35B-404E-98F0-83B07ABBD818	FA0A488F-A841-4A18-9BB9-08F768A1AA57	ShipmentAdvance	Learning Ltd.	ICICI	ICICI - 08A62888-B35B-404E-98F0-83B07ABBD818 - 7300.31	System Generated	2022-10-17 12:37:26.3166667
3C6ADD26-021C-4C7F-98FA-4165BB108ADF	2022-10-17 17:13:26.3333333	-18246.32	Cr	AA5C703B-A1A3-471F-BDE0-935B9F8EC967	1D31C087-1F80-42FC-ADDF-0D1624D6C68B	ShipmentAdvance	BBA-0049	IDFC	IDFC - AA5C703B-A1A3-471F-BDE0-935B9F8EC967 - -18246.32	System Generated	2022-10-17 17:13:26.3333333
3C6ADD26-021C-4C7F-98FA-4165BB108ADF	2022-10-17 17:13:26.3333333	18246.32	Dr	AA5C703B-A1A3-471F-BDE0-935B9F8EC967	1D31C087-1F80-42FC-ADDF-0D1624D6C68B	ShipmentAdvance	Learning Ltd.	IDFC	IDFC - AA5C703B-A1A3-471F-BDE0-935B9F8EC967 - 18246.32	System Generated	2022-10-17 17:13:26.3333333
9255C9B7-80D3-43B0-8BEA-A757648ED3C7	2022-10-17 16:43:26.3433333	-10844.65	Cr	A4FA098F-D649-46F8-A2CB-BF2567759F4F	F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	ShipmentAdvance	CAC-0007	HDFC	HDFC - A4FA098F-D649-46F8-A2CB-BF2567759F4F - -10844.65	System Generated	2022-10-17 16:43:26.3433333
9255C9B7-80D3-43B0-8BEA-A757648ED3C7	2022-10-17 16:43:26.3433333	10844.65	Dr	A4FA098F-D649-46F8-A2CB-BF2567759F4F	F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	ShipmentAdvance	Learning Ltd.	HDFC	HDFC - A4FA098F-D649-46F8-A2CB-BF2567759F4F - 10844.65	System Generated	2022-10-17 16:43:26.3433333
E966BCC1-1F2B-40E0-9DCF-2BAE53D95933	2022-10-17 11:06:26.3566667	8789.58	Dr	NULL	03E3B527-EE74-46E6-A091-3B6FE30A9BD9	InvoiceAdvance	"Tailspin Toys (Tooele, UT)"	Paytm	Paytm -  - 8789.58	System Generated	2022-10-17 11:06:26.3566667
E966BCC1-1F2B-40E0-9DCF-2BAE53D95933	2022-10-17 11:06:26.3566667	-8789.58	Cr	NULL	03E3B527-EE74-46E6-A091-3B6FE30A9BD9	InvoiceAdvance	Learning Ltd.	Paytm	Paytm -  - -8789.58	System Generated	2022-10-17 11:06:26.3566667
B725A044-9E8E-4C1D-9966-9E9BAFD45527	2022-10-17 12:17:26.3700000	13641.79	Dr	1C292C7B-CCF6-4369-A18E-2BEB999A602A	5E28B977-22D7-4373-91B0-4775CF65088A	InvoiceAdvance	"Tailspin Toys (Lake Hughes, CA)"	IDFC	IDFC - 1C292C7B-CCF6-4369-A18E-2BEB999A602A - 13641.79	System Generated	2022-10-17 12:17:26.3700000
B725A044-9E8E-4C1D-9966-9E9BAFD45527	2022-10-17 12:17:26.3700000	-13641.79	Cr	1C292C7B-CCF6-4369-A18E-2BEB999A602A	5E28B977-22D7-4373-91B0-4775CF65088A	InvoiceAdvance	Learning Ltd.	IDFC	IDFC - 1C292C7B-CCF6-4369-A18E-2BEB999A602A - -13641.79	System Generated	2022-10-17 12:17:26.3700000
59C3DD88-7B10-4178-87E2-1468B18B10E9	2022-10-17 15:40:26.3866667	8509.78	Dr	96B607A3-A308-40EF-8E26-7332CC194E9F	D66F4C26-4D4A-4C84-91EB-49942354679F	InvoiceAdvance	Vitalijs Baltins	Axis	Axis - 96B607A3-A308-40EF-8E26-7332CC194E9F - 8509.78	System Generated	2022-10-17 15:40:26.3866667
59C3DD88-7B10-4178-87E2-1468B18B10E9	2022-10-17 15:40:26.3866667	-8509.78	Cr	96B607A3-A308-40EF-8E26-7332CC194E9F	D66F4C26-4D4A-4C84-91EB-49942354679F	InvoiceAdvance	Learning Ltd.	Axis	Axis - 96B607A3-A308-40EF-8E26-7332CC194E9F - -8509.78	System Generated	2022-10-17 15:40:26.3866667
F1508238-5D3C-4CB5-B961-CDC1119D8B9A	2022-10-17 11:29:11.3133333	-7118.83	Cr	9B085C88-FCE0-42F0-B05A-F59B030D6A21	151104E1-DB3E-404D-9DA3-19F44C910F4B	ShipmentAdvance	CBC-0039	Axis	Axis - 9B085C88-FCE0-42F0-B05A-F59B030D6A21 - -7118.83	System Generated	2022-10-17 11:29:11.3133333
F1508238-5D3C-4CB5-B961-CDC1119D8B9A	2022-10-17 11:29:11.3133333	7118.83	Dr	9B085C88-FCE0-42F0-B05A-F59B030D6A21	151104E1-DB3E-404D-9DA3-19F44C910F4B	ShipmentAdvance	Learning Ltd.	Axis	Axis - 9B085C88-FCE0-42F0-B05A-F59B030D6A21 - 7118.83	System Generated	2022-10-17 11:29:11.3133333
7CFCA0AB-C2E6-4F75-AC65-FDFF141349D1	2022-10-17 11:28:11.3700000	-6223.20	Cr	AB09C0C8-D542-4129-92E2-64FD5EC40F85	688B462F-212A-4CC5-9D4F-21C4CDC64E89	ShipmentAdvance	BEE-0062	HDFC	HDFC - AB09C0C8-D542-4129-92E2-64FD5EC40F85 - -6223.20	System Generated	2022-10-17 11:28:11.3700000
7CFCA0AB-C2E6-4F75-AC65-FDFF141349D1	2022-10-17 11:28:11.3700000	6223.20	Dr	AB09C0C8-D542-4129-92E2-64FD5EC40F85	688B462F-212A-4CC5-9D4F-21C4CDC64E89	ShipmentAdvance	Learning Ltd.	HDFC	HDFC - AB09C0C8-D542-4129-92E2-64FD5EC40F85 - 6223.20	System Generated	2022-10-17 11:28:11.3700000
A4138F9B-35E3-4DF6-B3FE-DE9EEDD5789D	2022-10-17 15:25:11.4200000	-5254.50	Cr	NULL	61DC7F47-28B4-41C1-AB37-24EDFDAB13E4	ShipmentAdvance	CAC-0076	Cash	Cash -  - -5254.50	System Generated	2022-10-17 15:25:11.4200000
A4138F9B-35E3-4DF6-B3FE-DE9EEDD5789D	2022-10-17 15:25:11.4200000	5254.50	Dr	NULL	61DC7F47-28B4-41C1-AB37-24EDFDAB13E4	ShipmentAdvance	Learning Ltd.	Cash	Cash -  - 5254.50	System Generated	2022-10-17 15:25:11.4200000
21E6158B-27BC-41CB-9845-D6EAA9782294	2022-10-17 16:59:11.4533333	-15753.38	Cr	FC8DF8A0-6647-47D5-A337-CFB73713F896	10313B32-43B6-478A-83E8-29B9294A9F12	ShipmentAdvance	BBD-0014	Axis	Axis - FC8DF8A0-6647-47D5-A337-CFB73713F896 - -15753.38	System Generated	2022-10-17 16:59:11.4533333
21E6158B-27BC-41CB-9845-D6EAA9782294	2022-10-17 16:59:11.4533333	15753.38	Dr	FC8DF8A0-6647-47D5-A337-CFB73713F896	10313B32-43B6-478A-83E8-29B9294A9F12	ShipmentAdvance	Learning Ltd.	Axis	Axis - FC8DF8A0-6647-47D5-A337-CFB73713F896 - 15753.38	System Generated	2022-10-17 16:59:11.4533333
F329130E-6503-4BCD-90BB-FAFBFA727217	2022-10-17 16:13:11.4733333	12396.46	Dr	9695FEA2-A9BB-4FCA-8740-FA1137A90969	3151B8F8-23B5-4A86-9ED7-49D977F1BA57	InvoiceAdvance	"Tailspin Toys (Wallagrass, ME)"	IDFC	IDFC - 9695FEA2-A9BB-4FCA-8740-FA1137A90969 - 12396.46	System Generated	2022-10-17 16:13:11.4733333
F329130E-6503-4BCD-90BB-FAFBFA727217	2022-10-17 16:13:11.4733333	-12396.46	Cr	9695FEA2-A9BB-4FCA-8740-FA1137A90969	3151B8F8-23B5-4A86-9ED7-49D977F1BA57	InvoiceAdvance	Learning Ltd.	IDFC	IDFC - 9695FEA2-A9BB-4FCA-8740-FA1137A90969 - -12396.46	System Generated	2022-10-17 16:13:11.4733333
E00C6957-689A-4AE4-B62A-6B5311DCEB4C	2022-10-17 19:08:11.5033333	11703.40	Dr	C1B5B38A-2924-406E-9B91-BF465D1DDDA8	BA55A4E8-D546-4BED-9BCF-5C7B52CC7063	InvoiceAdvance	Arundhati Majumdar	HDFC	HDFC - C1B5B38A-2924-406E-9B91-BF465D1DDDA8 - 11703.40	System Generated	2022-10-17 19:08:11.5033333
E00C6957-689A-4AE4-B62A-6B5311DCEB4C	2022-10-17 19:08:11.5033333	-11703.40	Cr	C1B5B38A-2924-406E-9B91-BF465D1DDDA8	BA55A4E8-D546-4BED-9BCF-5C7B52CC7063	InvoiceAdvance	Learning Ltd.	HDFC	HDFC - C1B5B38A-2924-406E-9B91-BF465D1DDDA8 - -11703.40	System Generated	2022-10-17 19:08:11.5033333
EE48A7DC-2B2E-4662-96E8-B515B974532E	2022-10-18 16:35:10.7266667	13121.26	Dr	NULL	A91DF83B-F83C-4C37-9E79-0B1055FFED50	InvoiceAdvance	Dhanishta Mokkapati	Paytm	Paytm -  - 13121.26	System Generated	2022-10-18 16:35:10.7266667
EE48A7DC-2B2E-4662-96E8-B515B974532E	2022-10-18 16:35:10.7266667	-13121.26	Cr	NULL	A91DF83B-F83C-4C37-9E79-0B1055FFED50	InvoiceAdvance	Learning Ltd.	Paytm	Paytm -  - -13121.26	System Generated	2022-10-18 16:35:10.7266667
077B2E11-DD3C-4311-A04D-CE9A7B72C84F	2022-10-18 15:29:10.7466667	11782.62	Dr	34EED404-0381-4814-8976-46C329DD2FF6	B59FE3E0-71D0-4DCE-9179-10F2CDB552F1	InvoiceAdvance	Ebru Erdogan	HDFC	HDFC - 34EED404-0381-4814-8976-46C329DD2FF6 - 11782.62	System Generated	2022-10-18 15:29:10.7466667
077B2E11-DD3C-4311-A04D-CE9A7B72C84F	2022-10-18 15:29:10.7466667	-11782.62	Cr	34EED404-0381-4814-8976-46C329DD2FF6	B59FE3E0-71D0-4DCE-9179-10F2CDB552F1	InvoiceAdvance	Learning Ltd.	HDFC	HDFC - 34EED404-0381-4814-8976-46C329DD2FF6 - -11782.62	System Generated	2022-10-18 15:29:10.7466667
5D9535B5-3CBF-4E39-8220-03F7A2DF4285	2022-10-19 14:39:11.1733333	-7960.47	Cr	42DEB773-B236-42B7-BAFD-E55721E1EA94	32EF4490-58E4-46C9-9DE8-03587A34BB89	ShipmentAdvance	DDA-0052	PNB	PNB - 42DEB773-B236-42B7-BAFD-E55721E1EA94 - -7960.47	System Generated	2022-10-19 14:39:11.1733333
5D9535B5-3CBF-4E39-8220-03F7A2DF4285	2022-10-19 14:39:11.1733333	7960.47	Dr	42DEB773-B236-42B7-BAFD-E55721E1EA94	32EF4490-58E4-46C9-9DE8-03587A34BB89	ShipmentAdvance	Learning Ltd.	PNB	PNB - 42DEB773-B236-42B7-BAFD-E55721E1EA94 - 7960.47	System Generated	2022-10-19 14:39:11.1733333
8CAC4A03-E868-41FF-A9EA-CF4AADA51CBC	2022-10-19 09:29:11.1966667	-15781.33	Cr	08DD1583-2160-4FAD-9261-ED4C0052C698	357F29ED-27AC-4739-8749-071F251BBBD8	ShipmentAdvance	CAB-0035	IDFC	IDFC - 08DD1583-2160-4FAD-9261-ED4C0052C698 - -15781.33	System Generated	2022-10-19 09:29:11.1966667
8CAC4A03-E868-41FF-A9EA-CF4AADA51CBC	2022-10-19 09:29:11.1966667	15781.33	Dr	08DD1583-2160-4FAD-9261-ED4C0052C698	357F29ED-27AC-4739-8749-071F251BBBD8	ShipmentAdvance	Learning Ltd.	IDFC	IDFC - 08DD1583-2160-4FAD-9261-ED4C0052C698 - 15781.33	System Generated	2022-10-19 09:29:11.1966667
987AFE21-F9A4-4680-A3C7-FFC22BBF4504	2022-10-19 09:52:11.2266667	-15102.57	Cr	NULL	B2DAF3B8-3AB6-43E3-B60F-0AAC4732D65D	ShipmentAdvance	DEE-0016	Paytm	Paytm -  - -15102.57	System Generated	2022-10-19 09:52:11.2266667
987AFE21-F9A4-4680-A3C7-FFC22BBF4504	2022-10-19 09:52:11.2266667	15102.57	Dr	NULL	B2DAF3B8-3AB6-43E3-B60F-0AAC4732D65D	ShipmentAdvance	Learning Ltd.	Paytm	Paytm -  - 15102.57	System Generated	2022-10-19 09:52:11.2266667
6ADBBC28-2C70-4F98-8433-96454BD4B0E2	2022-10-19 11:40:11.4933333	-3270.05	Cr	NULL	E48AC25C-CBB1-49BC-9A98-048544812A56	ShipmentBalancePayment	ECC-0007	UPI	UPI -  - -3270.05	System Generated	2022-10-19 11:40:11.4933333
6ADBBC28-2C70-4F98-8433-96454BD4B0E2	2022-10-19 11:40:11.4933333	3270.05	Dr	NULL	E48AC25C-CBB1-49BC-9A98-048544812A56	ShipmentBalancePayment	Learning Ltd.	UPI	UPI -  - 3270.05	System Generated	2022-10-19 11:40:11.4933333
B3860429-D9A0-478F-8FC4-5A4F6320C028	2022-10-19 17:10:11.5100000	-5972.98	Cr	NULL	FA0A488F-A841-4A18-9BB9-08F768A1AA57	ShipmentBalancePayment	ADA-0004	Paytm	Paytm -  - -5972.98	System Generated	2022-10-19 17:10:11.5100000
B3860429-D9A0-478F-8FC4-5A4F6320C028	2022-10-19 17:10:11.5100000	5972.98	Dr	NULL	FA0A488F-A841-4A18-9BB9-08F768A1AA57	ShipmentBalancePayment	Learning Ltd.	Paytm	Paytm -  - 5972.98	System Generated	2022-10-19 17:10:11.5100000
2FD576AA-F1EE-4751-8257-5CC8386DCE03	2022-10-19 12:01:11.5300000	-10010.45	Cr	8AA5762C-5E1C-4004-806D-CEC9C42A6A29	F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	ShipmentBalancePayment	CAC-0007	HDFC	HDFC - 8AA5762C-5E1C-4004-806D-CEC9C42A6A29 - -10010.45	System Generated	2022-10-19 12:01:11.5300000
2FD576AA-F1EE-4751-8257-5CC8386DCE03	2022-10-19 12:01:11.5300000	10010.45	Dr	8AA5762C-5E1C-4004-806D-CEC9C42A6A29	F0438182-78B7-4AA2-8E8D-0FE3E27E32DA	ShipmentBalancePayment	Learning Ltd.	HDFC	HDFC - 8AA5762C-5E1C-4004-806D-CEC9C42A6A29 - 10010.45	System Generated	2022-10-19 12:01:11.5300000
DEBD7883-05EA-4153-B890-35A608CF4631	2022-10-19 09:25:11.5466667	9069.00	Dr	NULL	433A8842-7F8D-4664-92BA-1D2118EA05E6	InvoiceAdvance	"Tailspin Toys (Hiteman, IA)"	Cash	Cash -  - 9069.00	System Generated	2022-10-19 09:25:11.5466667
DEBD7883-05EA-4153-B890-35A608CF4631	2022-10-19 09:25:11.5466667	-9069.00	Cr	NULL	433A8842-7F8D-4664-92BA-1D2118EA05E6	InvoiceAdvance	Learning Ltd.	Cash	Cash -  - -9069.00	System Generated	2022-10-19 09:25:11.5466667
